date,currency,rate
2019-01-01,AUD,2.07
2019-01-01,CAD,1.634
2019-01-01,CHF,-0.813503555555556
2019-01-01,EUR,-0.308
2019-01-01,GBP,0.91822
2019-01-01,JPY,0.03
2019-01-01,NZD,1.91
2019-01-01,USD,2.59
2019-02-01,AUD,1.96
2019-02-01,CAD,1.665
2019-02-01,CHF,-0.768617571428571
2019-02-01,EUR,-0.30845
2019-02-01,GBP,0.87598
2019-02-01,JPY,0.03
2019-02-01,NZD,1.9
2019-02-01,USD,2.49
2019-03-01,AUD,1.83
2019-03-01,CAD,1.66
2019-03-01,CHF,-0.756575222222222
2019-03-01,EUR,-0.309190476190476
2019-03-01,GBP,0.84
2019-03-01,JPY,0.05
2019-03-01,NZD,1.88
2019-03-01,USD,2.48
2019-04-01,AUD,1.68
2019-04-01,CAD,1.675
2019-04-01,CHF,-0.7475
2019-04-01,EUR,-0.31045
2019-04-01,GBP,0.82
2019-04-01,JPY,0.05
2019-04-01,NZD,1.81
2019-04-01,USD,2.47
2019-05-01,AUD,1.54
2019-05-01,CAD,1.678
2019-05-01,CHF,-0.7752625
2019-05-01,EUR,-0.311863636363636
2019-05-01,GBP,0.8
2019-05-01,JPY,0.049
2019-05-01,NZD,1.72
2019-05-01,USD,2.44
2019-06-01,AUD,1.29
2019-06-01,CAD,1.665
2019-06-01,CHF,-0.780555
2019-06-01,EUR,-0.3289
2019-06-01,GBP,0.78
2019-06-01,JPY,0.049
2019-06-01,NZD,1.6
2019-06-01,USD,2.3
2019-07-01,AUD,1.11
2019-07-01,CAD,1.654
2019-07-01,CHF,-0.84
2019-07-01,EUR,-0.364869565217391
2019-07-01,GBP,0.77
2019-07-01,JPY,0.049
2019-07-01,NZD,1.55
2019-07-01,USD,2.22
2019-08-01,AUD,0.98
2019-08-01,CAD,1.635
2019-08-01,CHF,-0.8075
2019-08-01,EUR,-0.407681818181818
2019-08-01,GBP,0.76
2019-08-01,JPY,0.009
2019-08-01,NZD,1.25
2019-08-01,USD,2.06
2019-09-01,AUD,0.98
2019-09-01,CAD,1.6275
2019-09-01,CHF,-0.79125
2019-09-01,EUR,-0.417571428571429
2019-09-01,GBP,0.77
2019-09-01,JPY,0.009
2019-09-01,NZD,1.15
2019-09-01,USD,2.03
2019-10-01,AUD,0.88
2019-10-01,CAD,1.654
2019-10-01,CHF,-0.756590909090909
2019-10-01,EUR,-0.412869565217391
2019-10-01,GBP,0.78
2019-10-01,JPY,0.009
2019-10-01,NZD,1.05
2019-10-01,USD,1.88
2019-11-01,AUD,0.91
2019-11-01,CAD,1.6625
2019-11-01,CHF,-0.705643333333333
2019-11-01,EUR,-0.401285714285714
2019-11-01,GBP,0.79
2019-11-01,JPY,0.018
2019-11-01,NZD,1.18
2019-11-01,USD,1.77
2019-12-01,AUD,0.9
2019-12-01,CAD,1.6575
2019-12-01,CHF,-0.736666666666667
2019-12-01,EUR,-0.3947
2019-12-01,GBP,0.79
2019-12-01,JPY,0.021
2019-12-01,NZD,1.22
2019-12-01,USD,1.76
2020-01-01,AUD,0.89
2020-01-01,CAD,1.646
2020-01-01,CHF,-0.74875
2020-01-01,EUR,-0.391136363636364
2020-01-01,GBP,0.74
2020-01-01,JPY,0.021
2020-01-01,NZD,1.27
2020-01-01,USD,1.65
2020-02-01,AUD,0.89
2020-02-01,CAD,1.6325
2020-02-01,CHF,-0.7164475
2020-02-01,EUR,-0.40885
2020-02-01,GBP,0.75
2020-02-01,JPY,0.021
2020-02-01,NZD,1.18
2020-02-01,USD,1.59
2020-03-01,AUD,0.53
2020-03-01,CAD,0.6725
2020-03-01,CHF,-0.675
2020-03-01,EUR,-0.416636363636364
2020-03-01,GBP,0.53
2020-03-01,JPY,0.006
2020-03-01,NZD,0.71
2020-03-01,USD,1.35
2020-04-01,AUD,0.17
2020-04-01,CAD,0.246
2020-04-01,CHF,-0.624583333333333
2020-04-01,EUR,-0.25405
2020-04-01,GBP,0.65
2020-04-01,JPY,-0.039
2020-04-01,NZD,0.39
2020-05-01,AUD,0.1
2020-05-01,CAD,0.235
2020-05-01,CHF,-0.663348888888889
2020-05-01,EUR,-0.27195
2020-05-01,GBP,0.33
2020-05-01,JPY,-0.042
2020-05-01,NZD,0.26
2020-05-01,USD,0.17
2020-06-01,AUD,0.1
2020-06-01,CAD,0.1925
2020-06-01,CHF,-0.6658145
2020-06-01,EUR,-0.376
2020-06-01,GBP,0.19
2020-06-01,JPY,-0.042
2020-06-01,NZD,0.28
2020-06-01,USD,0.2
2020-07-01,AUD,0.1
2020-07-01,CAD,0.18
2020-07-01,CHF,-0.69071347826087
2020-07-01,EUR,-0.444130434782609
2020-07-01,GBP,0.1
2020-07-01,JPY,-0.065
2020-07-01,NZD,0.3
2020-07-01,USD,0.18
2020-08-01,AUD,0.1
2020-08-01,CAD,0.1575
2020-08-01,CHF,-0.706807142857143
2020-08-01,EUR,-0.479714285714286
2020-08-01,GBP,0.07
2020-08-01,JPY,-0.065
2020-08-01,NZD,0.29
2020-08-01,USD,0.15
2020-09-01,AUD,0.09
2020-09-01,CAD,0.142
2020-09-01,CHF,-0.708714090909091
2020-09-01,EUR,-0.491363636363636
2020-09-01,GBP,0.06
2020-09-01,JPY,-0.055
2020-09-01,NZD,0.3
2020-09-01,USD,0.13
2020-10-01,AUD,0.07
2020-10-01,CAD,0.1
2020-10-01,CHF,-0.698181818181818
2020-10-01,EUR,-0.509136363636364
2020-10-01,GBP,0.05
2020-10-01,JPY,-0.055
2020-10-01,NZD,0.27
2020-10-01,USD,0.12
2020-11-01,AUD,0.02
2020-11-01,CAD,0.1075
2020-11-01,CHF,-0.73
2020-11-01,EUR,-0.520857142857143
2020-11-01,GBP,0.04
2020-11-01,JPY,-0.055
2020-11-01,NZD,0.27
2020-11-01,USD,0.16
2020-12-01,AUD,0.02
2020-12-01,CAD,0.106
2020-12-01,CHF,-0.742727272727273
2020-12-01,EUR,-0.538090909090909
2020-12-01,GBP,0.03
2020-12-01,JPY,-0.055
2020-12-01,NZD,0.26
2020-12-01,USD,0.17
