account_id,strategy,instrument,broker_symbol,source,side,signal,weight,target_notional_usd,target_pct_account,estimated_units,estimated_standard_lots,sizing_note,last_price,magic,current_notional_usd,delta_notional_usd,delta_side
A1,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,LONG,1.0,0.16666666666666666,18156.33,0.181563,15605.8,0.1561,FX quote-USD estimate,1.163435,2026052201,0.0,18156.33,BUY
A1,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-18156.33,-0.181563,13489.25,0.1349,FX quote-USD estimate,1.345985,2026052201,0.0,-18156.33,SELL
A1,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-18156.33,-0.181563,18156.33,0.1816,FX base-USD estimate,159.628,2026052201,0.0,-18156.33,SELL
A1,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,18156.33,0.181563,25342.43,0.2534,FX quote-USD estimate,0.71644,2026052201,0.0,18156.33,BUY
A1,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,SHORT,-1.0,0.16666666666666666,-18156.33,-0.181563,30591.7,0.3059,FX quote-USD estimate,0.593505,2026052201,0.0,-18156.33,SELL
A1,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-18156.33,-0.181563,18156.33,0.1816,FX base-USD estimate,1.38411,2026052201,0.0,-18156.33,SELL
A2,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,LONG,1.0,0.16666666666666666,18156.33,0.181563,15605.8,0.1561,FX quote-USD estimate,1.163435,2026052202,0.0,18156.33,BUY
A2,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,SHORT,-1.0,0.16666666666666666,-18156.33,-0.181563,13489.25,0.1349,FX quote-USD estimate,1.345985,2026052202,0.0,-18156.33,SELL
A2,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-18156.33,-0.181563,18156.33,0.1816,FX base-USD estimate,159.628,2026052202,0.0,-18156.33,SELL
A2,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,18156.33,0.181563,25342.43,0.2534,FX quote-USD estimate,0.71644,2026052202,0.0,18156.33,BUY
