account_id,strategy,instrument,broker_symbol,source,side,signal,weight,target_notional_usd,target_pct_account,estimated_units,estimated_standard_lots,sizing_note,last_price,magic,current_notional_usd,delta_notional_usd,delta_side
A1,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,20842.24,0.2084,FX quote-USD estimate,1.162135,2026052201,0.0,-24221.5,SELL
A1,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,LONG,1.0,0.16666666666666666,24221.5,0.242215,18003.26,0.18,FX quote-USD estimate,1.345395,2026052201,0.0,24221.5,BUY
A1,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,24221.5,0.2422,FX base-USD estimate,159.978,2026052201,0.0,-24221.5,SELL
A1,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,24221.5,0.242215,33766.66,0.3377,FX quote-USD estimate,0.71732,2026052201,0.0,24221.5,BUY
A1,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,40908.82,0.4091,FX quote-USD estimate,0.592085,2026052201,0.0,-24221.5,SELL
A1,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,24221.5,0.2422,FX base-USD estimate,1.38454,2026052201,0.0,-24221.5,SELL
A2,FX_MR_STACK,EURUSD,EURUSD,EURUSD_MR5,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,20842.24,0.2084,FX quote-USD estimate,1.162135,2026052202,0.0,-24221.5,SELL
A2,FX_MR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,LONG,1.0,0.16666666666666666,24221.5,0.242215,18003.26,0.18,FX quote-USD estimate,1.345395,2026052202,0.0,24221.5,BUY
A2,FX_MR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,24221.5,0.2422,FX base-USD estimate,159.978,2026052202,0.0,-24221.5,SELL
A2,FX_MR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.16666666666666666,24221.5,0.242215,33766.66,0.3377,FX quote-USD estimate,0.71732,2026052202,0.0,24221.5,BUY
A2,FX_MR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,40908.82,0.4091,FX quote-USD estimate,0.592085,2026052202,0.0,-24221.5,SELL
A2,FX_MR_STACK,USDCAD,USDCAD,USDCAD_MR3,SHORT,-1.0,0.16666666666666666,-24221.5,-0.242215,24221.5,0.2422,FX base-USD estimate,1.38454,2026052202,0.0,-24221.5,SELL
A3,NO_EUR_STACK,GBPUSD,GBPUSD,GBPUSD_MR3,LONG,1.0,0.2,29101.37,0.291014,21630.36,0.2163,FX quote-USD estimate,1.345395,2026052203,0.0,29101.37,BUY
A3,NO_EUR_STACK,USDJPY,USDJPY,USDJPY_MR10,SHORT,-1.0,0.2,-29101.37,-0.291014,29101.37,0.291,FX base-USD estimate,159.978,2026052203,0.0,-29101.37,SELL
A3,NO_EUR_STACK,AUDUSD,AUDUSD,AUDUSD_MR21,LONG,1.0,0.2,29101.37,0.291014,40569.58,0.4057,FX quote-USD estimate,0.71732,2026052203,0.0,29101.37,BUY
A3,NO_EUR_STACK,NZDUSD,NZDUSD,NZDUSD_MR10,SHORT,-1.0,0.2,-29101.37,-0.291014,49150.67,0.4915,FX quote-USD estimate,0.592085,2026052203,0.0,-29101.37,SELL
